,Teks,Normalisasi_Teks,KBBI_Teks,Normal_Teks,Stopword_Removed_Teks,Clean,clean_teks
30,@unnesmenfess Serum Avoskin baru di pake 3 kali ya sesuai pict kondisinya ED di 11/24 (35k) Serum Npure ED 01/26 (20k) Serum Originote retinol ED 14/02/26 (30k) https://t.co/xrJYjP38AM,unnesmenfess serum avoskin baru di pake kali ya sesuai pict kondisinya ed di k serum npure ed k serum originote retinol ed k,unnesmenfess <norm> avoskin <norm> <norm> <norm> <norm> <norm> <norm> pict kondisinya ed <norm> <norm> <norm> npure ed <norm> <norm> originote retinol ed <norm>,unnesmenfess serum avoskin baru di pakai kali iya sesuai pict kondisinya edisi di ke serum npure edisi ke serum originote retinol edisi ke,unnesmenfess serum avoskin pakai kali iya sesuai pict kondisinya edisi serum npure edisi serum originote retinol edisi,unnesmenfess serum avoskin baru di pake kali ya sesuai pict kondisinya ed di k serum npure ed k serum originote retinol ed k,unnesmenfess serum avoskin pakai kali iya sesuai pict kondisi edisi serum npure edisi serum originote retinol edisi
31,@berrypeachsweet Kak mw originote masii ada ga??,berrypeachsweet kak mw originote masii ada ga,berrypeachsweet <norm> mw originote masii <norm> <norm>,berrypeachsweet kak now watching originote masii ada ga,berrypeachsweet kak now watching originote masii ga,berrypeachsweet kak mw originote masii ada ga,berrypeachsweet kak now watching originote masii ga
32,@undipmenfess bisa sopi !!! The Originote 32k ajaaaa https://t.co/hjcoTAKOx7,undipmenfess bisa sopi the originote k ajaa,undipmenfess <norm> <norm> the originote <norm> ajaa,undipmenfess bisa sopi the originote ke ajaa,undipmenfess sopi the originote ajaa,undipmenfess bisa sopi the originote k ajaa,undipmenfess sopi the originote ajaa
33,babi juga ni originote gw mau hemat tp dia bikin promo b1g1 tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt?!,babi juga ni originote gw mau hemat tp dia bikin promo bg tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt,<norm> <norm> <norm> originote gw <norm> <norm> <norm> <norm> <norm> <norm> bg <norm> sbnrnya gw <norm> <norm> <norm> gt <norm> kyk <norm> bgt,babi juga ini originote saya mau hemat tapi dia bikin promo abang tapi sbnrnya saya lagi ga butuh begitu tapi seperti lumayan banget,babi originote hemat bikin promo abang sbnrnya ga butuh lumayan banget,babi juga ni originote gw mau hemat tp dia bikin promo bg tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt,babi originote hemat bikin promo abang sbnrnya ga butuh lumayan banget
34,TONER ORIGINOTE CICA masih segel yak https://t.co/0kM579yIlo,toner originote cica masih segel yak,<norm> originote cica <norm> <norm> <norm>,toner originote cica masih segel yak,toner originote cica segel yak,toner originote cica masih segel yak,toner originote cica segel yak
35,Lip oilnya originote bagus banget,lip oilnya originote bagus banget,lip oilnya originote <norm> <norm>,lip oilnya originote bagus banget,lip oilnya originote bagus banget,lip oilnya originote bagus banget,lip oilnya originote bagus banget
36,AHA BHA originote enak bgt woy pen w makan lmlm ky manis bgt,aha bha originote enak bgt woy pen w makan lmlm ky manis bgt,<norm> bha originote <norm> bgt woy <norm> <norm> <norm> lmlm <norm> <norm> bgt,tertawa bha originote enak banget woy pen w makan lmlm seperti manis banget,tertawa bha originote enak banget woy pen w makan lmlm manis banget,aha bha originote enak bgt woy pen w makan lmlm ky manis bgt,tertawa bha originote enak banget woy pen w makan lmlm manis banget
37, Buat ngebersihin make up mantul yang mana bil? Dua-duanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepet ngebersihinnya sedangkan the originote daya bersihnya lebih oke. Tapi untuk maskara yang bener-bener waterproof dua mw gentong ini harus dipake https://t.co/YSK6QSAAPD,buat ngebersihin make up mantul yang mana bil duaduanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepet ngebersihinnya sedangkan the originote daya bersihnya lebih oke tapi untuk maskara yang benerbener waterproof dua mw gentong ini harus dipake,<norm> ngebersihin make up <norm> <norm> <norm> bil duaduanya <norm> yaa <norm> ngehapus make up effortless <norm> sea make up <norm> cepet ngebersihinnya <norm> the originote <norm> bersihnya <norm> <norm> <norm> <norm> <norm> <norm> benerbener waterproof <norm> mw <norm> <norm> <norm> dipake,buat ngebersihin make up mantul yang mana bil duaduanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepat ngebersihinnya sedangkan the originote daya bersihnya lebih oke tapi untuk maskara yang benerbener waterproof dua now watching gentong ini harus dipake,ngebersihin make up mantul bil duaduanya oke yaa ngehapus make up effortless sea make up cepat ngebersihinnya the originote daya bersihnya oke maskara benerbener waterproof now watching gentong dipake,buat ngebersihin make up mantul yang mana bil duaduanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepet ngebersihinnya sedangkan the originote daya bersihnya lebih oke tapi untuk maskara yang benerbener waterproof dua mw gentong ini harus dipake,ngebersihin make up mantul bil duaduanya oke yaa ngehapus make up effortless sea make up cepat ngebersihinnya the originote daya bersih oke maskara benerbener waterproof now watching gentong dipake
38,sunscreennya the originote baunya gaenak anjir,sunscreennya the originote baunya gaenak anjir,sunscreennya the originote baunya gaenak <norm>,sunscreennya the originote baunya gaenak anjing,sunscreennya the originote baunya gaenak anjing,sunscreennya the originote baunya gaenak anjir,sunscreennya the originote bau gaenak anjing
39,baru tau owner the originote dosen kecantikkan anjir,baru tau owner the originote dosen kecantikkan anjir,<norm> <norm> owner the originote <norm> kecantikkan <norm>,baru tahu owner the originote dosen kecantikkan anjing,owner the originote dosen kecantikkan anjing,baru tau owner the originote dosen kecantikkan anjir,owner the originote dosen cantik anjing
